FACILITY,FIELD_FAB,ALL_LOTS,DATETIME,TEXT,PREDICTION
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:03:35.823602+01:00,Start_REMOVAL_DRS_Scan_Go 0.0010731220245361 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:03:42.545882+01:00,Model_Context_Scan_Go 0.0011141300201416 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:03:45.533607+01:00,RULE_LTS1 0.000910997390747 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:03:48.421595+01:00,Lot_Next_Oper_Scan_Go 0.0009369850158691 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:03:54.739578+01:00,RULE_LTS1 0.0013048648834228 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:03:55.888199+01:00,PROCESSWORK_TM 0.0007929801940917 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:04:05.829482+01:00,RTD_WIPPER_TRANSPORT_DEST 0.00095796585083 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:04:03.61199+01:00,Model_Context_CMGEN_Scan_Go 0.0023601055145263 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:04:13.575649+01:00,LOT_TELTAG_REFRESH_INTELLION_NEW 0.0009379386901855 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:04:14.754572+01:00,RULE_LTS1 0.0009510517120361 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:04:24.383492+01:00,MVOUT_Context_Lot_Scan_Go 0.0007369518280029 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:04:33.335811+01:00,RULE_LTS1 0.0013160705566406 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:04:36.090822+01:00,RETICLE_MOVING 0.0007879734039306 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:04:50.395485+01:00,RULE_LTS1 0.635545969009399 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:04:54.427583+01:00,Lot_Next_Oper_Scan_Go 0.0008740425109863 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:05:05.332055+01:00,RULE_LTS1 0.0008959770202636 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:05:06.442608+01:00,Model_Context_Scan_Go 0.0009200572967529 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:05:26.783972+01:00,RULE_LTS1 0.0006849765777587 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:05:26.696786+01:00,Model_Context_Scan_Go 0.0008130073547363 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:05:39.648157+01:00,Start_DIFFUSION_VF_Scan_Go 0.0009479522705078 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:05:43.689822+01:00,ALIGN_BATCH_Scan_Go 0.000917911529541 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:05:48.966553+01:00,RTD_WIPPER_TRANSPORT_DEST 0.0009047985076904 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:06:00.049584+01:00,RULE_LTS1 0.0009629726409912 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:33:41.880156+01:00,Get_Mask 12.5156111717224 CTNSX00362,1
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:33:41.880166+01:00,Model_Context_Scan_Go 12.5344388484955 CTNSX00362,1
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:33:47.496153+01:00,ALIGN_BATCH_Scan_Go 10.8538570404053 CTNSX00362,1
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:33:49.173219+01:00,Lot_Next_Oper_Scan_Go 2.7252938747406 CTNSX00362,1
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:33:51.033249+01:00,RULE_LTS1 0.0199511051177979 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:33:50.407211+01:00,Lot_Next_Oper_Scan_Go 2.21359395980835 CTNSX00362,1
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:33:48.957969+01:00,MVOUT_Context_Lot_Scan_Go 8.63749408721924 CTNSX00362,1
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:33:52.791702+01:00,Model_Context_Scan_Go 0.000676155090332 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:33:59.901807+01:00,RULE_LTS1 0.286849975585938 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:33:59.264735+01:00,Start_PHOTO_ISL_Scan_Go 0.689868927001953 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:34:00.716596+01:00,RULE_LTS1 0.0015759468078613 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:34:08.306073+01:00,RULE_LTS1 0.0008869171142578 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:34:12.124993+01:00,ChangeCarrier_Scan_Go 0.0011639595031738 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:34:21.439663+01:00,RULE_LTS1 0.0007970333099365 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:34:18.456702+01:00,Model_Context_Scan_Go 0.0009820461273193 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:34:22.619429+01:00,Lot_Next_Entity_Scan_Go 0.0009939670562744 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:34:16.523626+01:00,MVOUT_Context_Lot_Scan_Go 0.0009181499481201 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:34:27.103986+01:00,RULE_LTS1 0.000910997390747 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:34:33.534329+01:00,RULE_LTS1 0.566208124160767 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:34:33.513462+01:00,Start_BACK_SPR_Scan_Go 1.4160840511322 CTNSX00362,1
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:34:37.960477+01:00,RULE_LTS1 0.205496788024902 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:34:39.429925+01:00,RULE_LTS1 0.0013380050659179 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:34:44.960427+01:00,RULE_LTS1 0.0009260177612304 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:34:53.646704+01:00,MVOUT_Context_Lot_Scan_Go 0.0009901523590087 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:35:00.72738+01:00,MVOUT_Context_Lot_Scan_Go 0.0010228157043457 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:35:01.775871+01:00,RULE_LTS1 0.0009739398956298 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:35:08.487476+01:00,Start_CD_Scan_Go 0.0008289813995361 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:35:12.786368+01:00,RULE_LTS1 0.0007770061492919 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:35:11.047339+01:00,Model_Context_Scan_Go 0.0009140968322753 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:35:17.001962+01:00,RULE_LTS1 0.0009899139404296 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:35:20.253009+01:00,Start_METAL_CDW_Scan_Go 0.0009529590606689 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:35:23.316894+01:00,PROCESSWORK_TM 0.0009458065032958 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:35:28.589946+01:00,RULE_LTS1 0.0013229846954345 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:35:25.749666+01:00,Model_Context_Scan_Go 1.07485890388489 CTNSX00362,1
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:35:35.030956+01:00,Get_Mask 0.0009450912475585 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:35:29.14244+01:00,MVOUT_Context_Lot_Scan_Go 0.0011858940124511 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:35:37.292611+01:00,Model_Context_Scan_Go 0.0008869171142578 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:35:44.091082+01:00,RULE_LTS1 0.151754140853882 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:35:46.180405+01:00,Start_CD_Scan_Go 0.0402379035949707 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:35:53.642454+01:00,RULE_LTS1 0.000864028930664 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:35:56.114212+01:00,Model_Context_Scan_Go 0.0009200572967529 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:36:04.134488+01:00,ChangeCarrier_Scan_Go 0.0009810924530029 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:36:06.590632+01:00,Start_METAL_CDW_Scan_Go 0.000823974609375 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:36:13.048248+01:00,RULE_LTS1 0.000878095626831 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,12/01/2024 09:36:18.804887+01:00,PROCESSWORK_TM 0.0006170272827148 CTNSX00362,0
